tracking_id,datetime,windmill_generated_power(kW/h)
WM_39434,9/16/2019 14:23,2.304739875
WM_16883,3/14/2019 0:13,2.404236705
WM_16423,3/8/2019 21:13,4.954139755
WM_19378,4/7/2019 14:43,4.001519835
WM_35176,8/14/2019 20:23,7.931974535
WM_39649,9/18/2019 2:13,5.559009835
WM_16624,3/11/2019 23:43,2.248335165
WM_25236,5/31/2019 15:13,4.092305037
WM_30165,7/7/2019 15:13,2.816911671
WM_11229,1/26/2019 21:13,9.0061795
WM_22495,5/11/2019 1:33,5.670689247
WM_1410,11/11/2018 3:43,2.46137986
WM_3502,11/29/2018 11:23,3.148824855
WM_11799,2/1/2019 3:53,9.30609225
WM_22334,5/9/2019 20:43,5.563931384
WM_37802,9/4/2019 17:43,3.620309825
WM_6663,12/24/2018 23:53,9.8335244
WM_29243,7/1/2019 1:43,5.73704979
WM_5320,12/14/2018 23:53,7.649474725
WM_16550,3/10/2019 15:43,6.935094239
WM_2183,11/16/2018 16:43,4.199931384
WM_3438,11/29/2018 0:33,5.09038982
WM_36325,8/23/2019 10:03,2.892044317
WM_8597,1/7/2019 16:23,5.571676365
WM_31833,7/19/2019 14:33,4.920262974
WM_10149,1/18/2019 22:33,9.38163448
WM_38811,9/11/2019 22:23,8.786705124
WM_31073,7/14/2019 5:13,4.185978742
WM_1314,11/10/2018 11:03,5.169989305
WM_28386,6/24/2019 20:03,8.0748552
WM_198,10/30/2018 6:33,9.319004335
WM_10525,1/21/2019 14:03,12.12653945
WM_11900,2/1/2019 21:03,11.61357153
WM_18459,3/27/2019 7:03,3.719420858
WM_33737,8/4/2019 16:33,6.914852368
WM_1851,11/14/2018 8:03,2.1583149
WM_21673,5/5/2019 4:43,4.351117388
WM_6566,12/24/2018 7:23,9.75034435
WM_36845,8/27/2019 1:53,2.9232555
WM_7916,1/2/2019 19:43,12.73956811
WM_27896,6/21/2019 6:43,5.637278753
WM_21392,5/2/2019 11:33,3.71348875
WM_27683,6/19/2019 18:13,4.57892978
WM_8769,1/8/2019 22:13,3.186084063
WM_30312,7/8/2019 17:53,5.413770418
WM_29472,7/2/2019 16:43,4.267372072
WM_3189,11/27/2018 6:33,8.059359655
WM_18130,3/24/2019 20:13,6.208184805
WM_36279,8/23/2019 2:23,8.85703431
WM_28062,6/22/2019 12:03,5.51995986
WM_20790,4/28/2019 7:03,2.27374991
WM_18167,3/25/2019 2:43,5.788199922
WM_1118,11/8/2018 18:03,15.70747948
WM_23657,5/19/2019 6:23,4.57056487
WM_37530,9/2/2019 20:23,6.532949835
WM_29981,7/6/2019 8:03,3.252759855
WM_40227,9/22/2019 20:43,7.525188606
WM_1525,11/11/2018 23:43,6.624649805
WM_2323,11/17/2018 16:13,3.038799905
WM_19419,4/7/2019 21:43,6.86679481
WM_18221,3/25/2019 13:43,6.784433033
WM_22827,5/13/2019 10:53,2.262594605
WM_37941,9/5/2019 16:53,5.429310906
WM_18696,3/29/2019 17:43,3.33233983
WM_39197,9/14/2019 22:33,7.459826142
WM_13378,2/12/2019 12:13,6.369105074
WM_29514,7/2/2019 23:53,8.139978568
WM_20666,4/27/2019 10:23,3.335499922
WM_1354,11/10/2018 17:43,3.078504865
WM_39840,9/19/2019 10:03,3.2500798
WM_12741,2/7/2019 19:23,5.62538988
WM_11752,1/31/2019 20:03,11.49166933
WM_2001,11/15/2018 10:03,4.61233482
WM_19586,4/9/2019 5:13,3.9262665
WM_25038,5/29/2019 23:23,5.382494626
WM_39554,9/17/2019 10:23,2.37286287
WM_12904,2/8/2019 23:03,5.984227706
WM_36694,8/26/2019 0:23,6.614668337
WM_34522,8/10/2019 6:23,3.519510983
WM_8354,1/5/2019 22:33,10.34918431
WM_677,11/5/2018 6:43,2.779916528
WM_25764,6/5/2019 13:13,4.752144272
WM_16078,3/6/2019 10:13,8.764788868
WM_7290,12/29/2018 10:23,10.6101644
WM_18298,3/26/2019 4:13,3.246005456
WM_22074,5/7/2019 23:43,6.034347232
WM_28715,6/27/2019 4:43,6.458773526
WM_24669,5/26/2019 11:43,4.432379755
WM_27581,6/18/2019 21:13,7.473899737
WM_4217,12/4/2018 23:53,5.874994805
WM_1060,11/8/2018 8:03,2.90573988
WM_11788,2/1/2019 2:03,8.29278462
WM_5520,12/16/2018 11:03,7.475755244
WM_13297,2/11/2019 21:03,2.816154875
WM_14468,2/20/2019 15:33,7.782769715
WM_38965,9/13/2019 0:03,6.041449855
WM_33740,8/4/2019 17:03,5.24482985
WM_24325,5/23/2019 22:13,6.860494584
WM_7300,12/29/2018 12:03,9.614889142
WM_25751,6/5/2019 10:53,4.396399826
WM_4599,12/7/2018 19:13,7.7385797
WM_13819,2/15/2019 19:23,9.186899405
WM_1400,11/11/2018 2:03,5.306494306
WM_5810,12/18/2018 13:03,7.969836484
WM_31877,7/19/2019 21:53,7.306994333
WM_6638,12/24/2018 19:43,9.872899325
WM_21861,5/6/2019 12:13,4.236205068
WM_38854,9/12/2019 5:33,8.936374375
WM_35192,8/14/2019 23:03,7.199444194
WM_15524,2/28/2019 18:13,11.88906789
WM_39762,9/18/2019 21:03,8.340805
WM_1677,11/13/2018 1:23,3.69715987
WM_30487,7/10/2019 1:03,8.32614959
WM_28108,6/22/2019 19:53,7.20476465
WM_1173,11/9/2018 4:33,3.274688065
WM_38104,9/6/2019 20:03,7.159454645
WM_33708,8/4/2019 11:43,4.873357732
WM_5710,12/17/2018 19:43,4.971489211
WM_9131,1/11/2019 11:43,6.783458606
WM_27368,6/17/2019 8:33,3.312427611
WM_6290,12/22/2018 2:23,8.170134615
WM_39569,9/17/2019 12:53,4.43260483
WM_4462,12/6/2018 19:33,8.811566
WM_18269,3/25/2019 23:23,3.103379865
WM_20718,4/27/2019 19:03,4.387605026
WM_9069,1/11/2019 1:23,7.158289216
WM_40064,9/21/2019 17:33,8.24189447
WM_18319,3/26/2019 7:43,5.790194825
WM_19859,4/17/2019 16:13,5.41944482
WM_8317,1/5/2019 16:23,7.678631126
WM_37997,9/6/2019 2:13,6.618910878
WM_27496,6/18/2019 6:33,5.638521983
WM_35835,8/20/2019 0:13,5.752910944
WM_25495,6/2/2019 18:53,5.79984986
WM_6754,12/25/2018 15:03,13.70938371
WM_8914,1/9/2019 23:03,3.894379785
WM_3385,11/28/2018 15:43,2.10037489
WM_22206,5/8/2019 22:13,4.174122067
WM_18913,4/3/2019 21:33,4.15708986
WM_19326,4/7/2019 6:03,3.074588783
WM_23644,5/19/2019 4:13,6.233704805
WM_9260,1/12/2019 9:23,2.942568295
WM_10714,1/23/2019 6:13,8.75316443
WM_16480,3/9/2019 7:23,8.150116322
WM_16011,3/5/2019 21:43,5.9772665
WM_5670,12/17/2018 13:03,6.396084765
WM_10261,1/19/2019 17:43,14.8666243
WM_13790,2/15/2019 14:33,8.576467947
WM_9508,1/14/2019 3:33,7.271988561
WM_22379,5/10/2019 4:13,2.577444855
WM_3630,11/30/2018 9:33,8.653678447
WM_10125,1/18/2019 18:13,11.29320945
WM_3133,11/26/2018 20:53,4.966684835
WM_18004,3/23/2019 21:13,5.849469835
WM_33780,8/4/2019 23:43,7.731246968
WM_9635,1/15/2019 1:43,9.57866928
WM_2136,11/16/2018 8:53,9.441652132
WM_34206,8/8/2019 0:53,6.0268665
WM_26358,6/9/2019 23:23,5.84456983
WM_40254,9/23/2019 1:13,7.395783895
WM_2076,11/15/2018 22:33,3.05172483
WM_16588,3/11/2019 17:33,5.506322
WM_9829,1/16/2019 12:13,7.650746958
WM_22649,5/12/2019 3:13,4.786610867
WM_22220,5/9/2019 0:33,3.131724888
WM_18785,3/31/2019 16:03,4.154368242
WM_6446,12/23/2018 10:53,10.04946955
WM_29059,6/29/2019 17:53,7.072768211
WM_19253,4/6/2019 14:53,2.917124845
WM_37900,9/5/2019 10:03,4.387605026
WM_25225,5/31/2019 13:13,4.156694835
WM_15766,3/4/2019 1:13,7.524931321
WM_34279,8/8/2019 13:13,2.714661
WM_9194,1/11/2019 22:13,8.157057416
WM_23326,5/16/2019 22:23,8.062036747
WM_23542,5/18/2019 10:33,3.232799858
WM_12718,2/7/2019 15:33,6.278670347
WM_4399,12/6/2018 8:53,5.258539805
WM_23700,5/19/2019 13:33,5.279820853
WM_29570,7/3/2019 9:13,2.98536655
WM_28486,6/25/2019 13:13,5.89642482
WM_36744,8/26/2019 8:43,2.51351988
WM_10169,1/19/2019 2:03,9.9757142
WM_13102,2/10/2019 10:43,6.867629785
WM_18420,3/27/2019 0:33,3.873605406
WM_11345,1/28/2019 22:43,12.40989936
WM_20937,4/29/2019 7:33,1.728092231
WM_19732,4/16/2019 18:43,2.306999905
WM_30163,7/7/2019 14:53,2.506763037
WM_31465,7/16/2019 23:33,7.24917964
WM_34020,8/6/2019 16:43,4.876238656
WM_37916,9/5/2019 12:43,3.726724795
WM_25289,6/1/2019 1:33,2.035978863
WM_10656,1/22/2019 19:33,11.7007393
WM_33961,8/6/2019 6:53,5.164649875
WM_38983,9/13/2019 10:53,2.205162375
WM_29326,7/1/2019 15:43,6.658938783
WM_22058,5/7/2019 21:03,7.401374662
WM_23339,5/17/2019 0:33,7.606994547
WM_27964,6/21/2019 18:03,5.139899812
WM_5091,12/11/2018 9:13,6.130529296
WM_23620,5/18/2019 23:43,7.168774845
WM_36479,8/24/2019 12:13,5.22921988
WM_5455,12/15/2018 23:03,8.567669465
WM_33865,8/5/2019 14:23,7.96387461
WM_28900,6/28/2019 13:33,4.078341984
WM_23540,5/18/2019 10:13,3.055089321
WM_7584,12/31/2018 11:43,9.762310417
WM_36381,8/23/2019 19:53,4.940415668
WM_15008,2/25/2019 2:23,11.35186435
WM_39618,9/17/2019 21:03,7.033566373
WM_7827,1/2/2019 4:53,8.447194675
WM_8199,1/4/2019 20:43,6.836729805
WM_38431,9/9/2019 2:33,7.39479968
WM_4590,12/7/2018 17:43,8.39430951
WM_35422,8/17/2019 3:13,4.988519775
WM_17249,3/18/2019 6:53,6.27211977
WM_18803,4/1/2019 11:53,2.37286287
WM_21684,5/5/2019 6:33,3.176344322
WM_23629,5/19/2019 1:43,5.615422106
WM_27869,6/21/2019 1:53,5.475615647
WM_36402,8/23/2019 23:23,8.650494365
WM_3283,11/27/2018 22:23,3.35496989
WM_15219,2/26/2019 14:33,10.97520932
WM_951,11/7/2018 9:03,3.759334855
WM_19423,4/7/2019 22:23,6.295247211
WM_31350,7/16/2019 4:03,5.934741811
WM_21603,5/4/2019 16:53,3.941910337
WM_5135,12/11/2018 16:33,6.33648977
WM_13209,2/11/2019 5:13,6.955338706
WM_25607,6/3/2019 17:03,3.770794558
WM_16489,3/9/2019 9:53,6.605038722
WM_5693,12/17/2018 16:53,5.050936589
WM_21895,5/6/2019 17:53,5.2380683
WM_12507,2/6/2019 3:43,8.981759325
WM_14118,2/17/2019 23:23,4.773879865
WM_19475,4/8/2019 8:13,2.677179885
WM_28476,6/25/2019 11:33,5.699520816
WM_25735,6/5/2019 8:13,4.249517471
WM_14038,2/17/2019 10:03,8.44296428
WM_6742,12/25/2018 13:03,10.97737925
WM_36701,8/26/2019 1:33,6.087336637
WM_11056,1/25/2019 16:13,12.29872953
WM_36288,8/23/2019 3:53,6.862216333
WM_13272,2/11/2019 16:53,5.623324795
WM_7058,12/27/2018 19:43,13.02163448
WM_30370,7/9/2019 5:33,5.241855361
WM_6469,12/23/2018 14:43,11.65219951
WM_22864,5/13/2019 17:03,4.111652788
WM_25148,5/30/2019 23:13,3.195405126
WM_18198,3/25/2019 9:03,3.179569835
WM_10849,1/24/2019 5:23,11.48475938
WM_3926,12/2/2018 21:33,6.130529296
WM_5255,12/12/2018 15:03,9.28201465
WM_14329,2/19/2019 12:43,7.628759615
WM_16383,3/8/2019 14:23,7.47289456
WM_10580,1/22/2019 5:53,6.737368563
WM_33182,7/31/2019 17:43,3.525205812
WM_24480,5/25/2019 3:23,5.763249835
WM_15670,3/1/2019 18:43,11.76031958
WM_14649,2/21/2019 22:23,9.339993559
WM_5140,12/11/2018 17:23,5.63628477
WM_1159,11/9/2018 2:03,2.725944905
WM_2555,11/22/2018 16:33,3.095378795
WM_24748,5/27/2019 19:23,6.17620483
WM_9617,1/14/2019 22:43,8.292289555
WM_13352,2/12/2019 6:43,8.438394221
WM_22245,5/9/2019 4:43,1.938894361
WM_18952,4/4/2019 5:43,2.718014915
WM_3759,12/1/2018 12:33,5.069610917
WM_33280,8/1/2019 10:53,2.405926147
WM_29249,7/1/2019 2:43,4.513999889
WM_5877,12/19/2018 1:13,8.402594405
WM_27688,6/19/2019 19:03,4.637573073
WM_23329,5/16/2019 22:53,7.030215563
WM_19710,4/16/2019 0:23,2.963054845
WM_811,11/6/2018 6:43,4.203083989
WM_34911,8/13/2019 0:13,6.38388478
WM_26510,6/11/2019 0:53,4.7846348
WM_37056,8/28/2019 13:03,2.830711641
WM_29373,7/1/2019 23:43,8.545652068
WM_39014,9/13/2019 16:03,2.595699868
WM_35453,8/17/2019 8:23,4.892749783
WM_36087,8/21/2019 18:13,4.179414855
WM_36999,8/28/2019 3:33,3.194743619
WM_17478,3/19/2019 23:43,7.734894139
WM_849,11/6/2018 13:43,3.322624855
WM_18812,4/1/2019 13:23,2.012811694
WM_24092,5/22/2019 6:53,3.812515616
WM_28983,6/29/2019 4:43,5.430699806
WM_27400,6/17/2019 13:53,4.442860933
WM_32614,7/27/2019 6:03,6.505139805
WM_15065,2/25/2019 12:53,9.663399311
WM_30600,7/10/2019 20:03,5.507860906
WM_762,11/5/2018 22:33,3.16477985
WM_26413,6/10/2019 8:33,3.108274835
WM_25467,6/2/2019 13:53,3.704589311
WM_2771,11/24/2018 5:53,6.883179685
WM_35364,8/16/2019 17:33,6.1354776
WM_39420,9/16/2019 12:03,2.764127617
WM_39991,9/21/2019 5:23,5.47278477
WM_34422,8/9/2019 13:23,2.10037489
WM_33518,8/3/2019 3:03,4.40274472
WM_8525,1/7/2019 4:23,11.00943935
WM_5621,12/17/2018 4:03,7.9424695
WM_35359,8/16/2019 16:43,5.45377981
WM_36285,8/23/2019 3:23,7.506459695
WM_13613,2/14/2019 4:43,8.949214375
WM_28019,6/22/2019 4:03,6.26151655
WM_28763,6/27/2019 12:53,2.322642
WM_4297,12/5/2018 13:23,7.44297474
WM_25231,5/31/2019 14:23,3.702122056
WM_30763,7/12/2019 0:43,9.175759445
WM_30850,7/12/2019 15:13,9.038759367
WM_1841,11/14/2018 6:23,3.46300983
WM_35181,8/14/2019 21:13,9.034125589
WM_21100,4/30/2019 10:43,2.207857747
WM_34377,8/9/2019 5:43,5.836204665
WM_12208,2/4/2019 1:03,9.762310417
WM_38604,9/10/2019 11:53,3.382499822
WM_13154,2/10/2019 19:23,2.668199883
WM_5110,12/11/2018 12:23,9.807294405
WM_36021,8/21/2019 7:13,6.130529296
WM_30137,7/7/2019 10:23,2.68766986
WM_4644,12/8/2018 2:53,9.5621194
WM_28693,6/27/2019 1:03,10.54406423
WM_39978,9/21/2019 3:13,5.84782982
WM_10075,1/18/2019 9:43,9.435854045
WM_36040,8/21/2019 10:23,3.394973537
WM_20067,4/20/2019 18:43,1.815549925
WM_35590,8/18/2019 7:13,5.228247158
WM_27541,6/18/2019 14:13,4.200749775
WM_3356,11/28/2018 10:53,5.950131389
WM_24729,5/27/2019 16:13,6.2297887
WM_36900,8/27/2019 11:03,2.600964606
WM_10433,1/20/2019 22:43,9.056664505
WM_39664,9/18/2019 4:43,4.683238672
WM_33188,7/31/2019 18:53,4.65433314
WM_38793,9/11/2019 19:23,5.21328487
WM_20492,4/26/2019 2:53,5.58398983
WM_30070,7/6/2019 23:03,6.10046472
WM_9580,1/14/2019 16:33,8.740984215
WM_25651,6/4/2019 2:13,6.130529296
WM_29782,7/4/2019 21:13,6.415362958
WM_2633,11/23/2018 6:03,9.33696435
WM_19126,4/5/2019 15:53,2.988535153
WM_33920,8/5/2019 23:43,6.76260979
WM_15615,3/1/2019 9:23,9.72880928
WM_29008,6/29/2019 9:13,4.791027572
WM_26706,6/12/2019 11:13,5.484505116
WM_36139,8/22/2019 2:53,7.463678653
WM_949,11/7/2018 8:43,3.624189363
WM_30979,7/13/2019 13:03,5.774087344
WM_30202,7/7/2019 21:43,7.629010274
WM_1306,11/10/2018 9:43,4.895454855
WM_28576,6/26/2019 4:53,5.645515169
WM_16086,3/6/2019 11:33,8.0897383
WM_15079,2/25/2019 15:13,13.1967394
WM_28543,6/25/2019 23:13,7.510284825
WM_4869,12/9/2018 17:33,6.61952463
WM_2730,11/23/2018 22:53,1.969715668
WM_24412,5/24/2019 13:33,4.354825995
WM_23124,5/15/2019 12:43,6.586510989
WM_12369,2/5/2019 4:13,13.23394434
WM_37220,8/31/2019 16:43,4.911183106
WM_7064,12/27/2018 20:43,11.41334445
WM_32804,7/29/2019 0:53,8.576094605
WM_13892,2/16/2019 7:43,7.620415547
WM_2423,11/21/2018 17:23,3.421814855
WM_4292,12/5/2018 12:33,8.669659575
WM_14863,2/23/2019 17:03,7.914510079
WM_37691,9/3/2019 23:13,6.132789825
WM_29081,6/29/2019 21:43,8.259593524
WM_24585,5/25/2019 20:53,7.834624555
WM_37934,9/5/2019 15:43,3.776044294
WM_33176,7/31/2019 16:43,2.69814483
WM_24022,5/21/2019 19:13,5.871733144
WM_8139,1/4/2019 10:43,6.527355372
WM_16437,3/8/2019 23:33,5.28172482
WM_24940,5/29/2019 6:53,4.44329979
WM_30142,7/7/2019 11:13,2.596323031
WM_19985,4/19/2019 8:23,2.93302489
WM_12837,2/8/2019 11:53,7.713204645
WM_32053,7/21/2019 5:03,6.65715973
WM_560,11/2/2018 4:13,4.39574482
WM_9526,1/14/2019 6:43,3.828973489
WM_30781,7/12/2019 3:43,5.79890981
WM_31641,7/18/2019 6:03,5.69741481
WM_613,11/4/2018 17:03,3.87864483
WM_93,10/29/2018 12:33,9.525665944
WM_32655,7/27/2019 13:03,7.424699789
WM_13020,2/9/2019 19:03,3.8373549
WM_36514,8/24/2019 18:03,4.78309985
WM_23514,5/18/2019 5:53,5.229278726
WM_31031,7/13/2019 21:43,7.98303452
WM_10813,1/23/2019 23:03,7.34549472
WM_8421,1/6/2019 10:23,9.155499478
WM_29856,7/5/2019 10:13,3.279656081
WM_7197,12/28/2018 18:53,11.46659397
WM_10431,1/20/2019 22:23,10.95598936
WM_30583,7/10/2019 17:13,3.276247258
WM_6207,12/21/2018 8:13,10.0030742
WM_29085,6/29/2019 22:23,6.7798886
WM_22303,5/9/2019 14:23,4.478483974
WM_13690,2/14/2019 17:43,6.13298487
WM_21369,5/2/2019 7:43,2.996917488
WM_30139,7/7/2019 10:43,2.950229271
WM_25858,6/6/2019 5:23,4.241338706
WM_36033,8/21/2019 9:13,4.122289326
WM_2867,11/24/2018 21:53,5.024429885
WM_39693,9/18/2019 9:33,2.653909875
WM_7894,1/2/2019 16:03,10.56456955
WM_6380,12/22/2018 17:33,7.844954495
WM_15262,2/26/2019 21:43,9.494716056
WM_15061,2/25/2019 12:13,9.02744445
WM_32795,7/28/2019 23:23,8.293231121
WM_21120,4/30/2019 14:03,2.384611624
WM_21300,5/1/2019 20:13,4.064972067
WM_1608,11/12/2018 13:53,2.669073796
WM_26582,6/11/2019 13:03,3.828222072
WM_10899,1/24/2019 13:43,8.75065945
WM_25461,6/2/2019 12:53,3.605879825
WM_9855,1/16/2019 17:03,8.35035457
WM_6054,12/20/2018 6:43,14.01267938
WM_13882,2/16/2019 5:53,7.932805228
WM_6449,12/23/2018 11:23,12.10127935
WM_26314,6/9/2019 15:33,8.052662684
WM_20858,4/28/2019 18:23,1.991284895
WM_22684,5/12/2019 9:03,4.304966472
WM_24415,5/24/2019 14:03,3.607727633
WM_17113,3/16/2019 9:33,1.828663084
WM_25483,6/2/2019 16:43,5.190262963
WM_3088,11/26/2018 13:23,5.15752983
WM_10532,1/21/2019 15:53,13.35138828
WM_6707,12/25/2018 7:13,9.684429425
WM_19404,4/7/2019 19:03,3.77899483
WM_17238,3/18/2019 5:03,4.305968158
WM_27206,6/16/2019 3:53,6.370120895
WM_5349,12/15/2018 4:53,4.3270048
WM_27880,6/21/2019 3:43,5.719338678
WM_21048,4/30/2019 2:03,3.253699863
WM_25532,6/3/2019 2:13,4.394799845
WM_24605,5/26/2019 0:33,4.30489473
WM_25022,5/29/2019 20:43,5.162874831
WM_8753,1/8/2019 19:03,5.18914975
WM_35769,8/19/2019 13:13,2.870283183
WM_8442,1/6/2019 14:03,9.112880719
WM_6941,12/26/2018 22:53,10.35315438
WM_301,10/31/2018 7:43,9.233964159
WM_18676,3/28/2019 22:03,4.307784785
WM_17441,3/19/2019 16:53,6.92531977
WM_12023,2/2/2019 18:03,10.91317948
WM_8351,1/5/2019 22:03,9.128564525
WM_25492,6/2/2019 18:23,5.310894283
WM_32147,7/21/2019 21:03,8.159760661
WM_22168,5/8/2019 15:33,4.539240947
WM_4076,12/3/2018 22:33,8.98376946
WM_36504,8/24/2019 16:23,2.833905084
WM_33567,8/3/2019 11:43,5.471973416
WM_32191,7/22/2019 4:43,4.978293882
WM_6144,12/20/2018 21:43,13.24984477
WM_12533,2/6/2019 8:03,8.638678305
WM_1289,11/10/2018 6:53,2.361783194
WM_30664,7/11/2019 7:53,4.486463455
WM_4370,12/6/2018 1:33,7.917727367
WM_31207,7/15/2019 3:43,8.259279365
WM_10223,1/19/2019 11:23,11.83468948
WM_38274,9/8/2019 0:23,8.438774555
WM_31638,7/18/2019 5:33,6.042605142
WM_39806,9/19/2019 4:23,4.346684825
WM_15731,3/3/2019 19:23,9.126499216
WM_16814,3/13/2019 12:43,2.694683172
WM_20049,4/19/2019 20:33,6.171528471
WM_39063,9/14/2019 0:13,6.01885483
WM_38964,9/12/2019 23:53,7.538178584
WM_35974,8/20/2019 23:23,6.644894547
WM_25206,5/31/2019 10:03,1.235569936
WM_5384,12/15/2018 11:13,7.186994332
WM_5932,12/19/2018 10:23,9.977856714
WM_7925,1/2/2019 21:13,12.38107452
WM_30414,7/9/2019 12:53,4.30489473
WM_37032,8/28/2019 9:03,2.827909905
WM_35905,8/20/2019 11:53,4.6375524
WM_29070,6/29/2019 19:43,8.406921739
WM_12463,2/5/2019 20:23,9.006884435
WM_29549,7/3/2019 5:43,3.206119875
WM_22469,5/10/2019 21:13,5.213826195
WM_33917,8/5/2019 23:13,6.915277633
WM_1581,11/12/2018 9:23,3.93099482
WM_15306,2/27/2019 5:03,10.6501045
WM_15631,3/1/2019 12:13,13.61063452
WM_20548,4/26/2019 12:13,3.106944855
WM_10299,1/20/2019 0:03,9.21572433
WM_32695,7/27/2019 20:53,7.414117253
WM_18825,4/2/2019 9:33,2.664172122
WM_10118,1/18/2019 17:03,11.83825489
WM_23739,5/19/2019 20:03,5.005043563
WM_8440,1/6/2019 13:43,6.60345976
WM_9406,1/13/2019 9:53,4.686294267
WM_33698,8/4/2019 10:03,4.745368179
WM_30991,7/13/2019 15:03,5.0115886
WM_14094,2/17/2019 19:23,8.278752833
WM_23672,5/19/2019 8:53,2.504633215
WM_11850,2/1/2019 12:43,10.53401039
WM_8487,1/6/2019 21:53,5.493619805
WM_36270,8/23/2019 0:53,7.92029954
WM_16170,3/7/2019 2:03,9.7582495
WM_9576,1/14/2019 15:53,7.699287075
WM_1623,11/12/2018 16:23,3.092289875
WM_5489,12/16/2018 4:43,6.388872072
WM_2453,11/21/2018 22:23,5.672649825
WM_30182,7/7/2019 18:03,3.087593947
WM_8391,1/6/2019 4:43,7.977934475
WM_11730,1/31/2019 15:43,14.2501794
WM_13323,2/12/2019 1:23,7.198310939
WM_9284,1/12/2019 13:23,4.966805053
WM_21940,5/7/2019 1:23,5.214679795
WM_3240,11/27/2018 15:03,2.414699915
WM_32563,7/26/2019 21:23,7.574866383
WM_839,11/6/2018 12:03,5.37319984
WM_8243,1/5/2019 4:03,7.957287194
WM_34562,8/10/2019 13:23,5.424169855
WM_791,11/6/2018 3:23,4.54432765
WM_23083,5/15/2019 5:53,4.966805053
WM_3694,12/1/2018 1:23,1.597019952
WM_836,11/6/2018 11:23,5.800452426
WM_29710,7/4/2019 9:13,7.343814675
WM_37566,9/3/2019 2:23,7.56756958
WM_39730,9/18/2019 15:43,6.997294976
WM_10629,1/22/2019 15:03,9.967194225
WM_24675,5/26/2019 12:43,4.802133106
WM_39589,9/17/2019 16:13,7.413459825
WM_30056,7/6/2019 20:33,6.205147263
WM_29952,7/6/2019 2:53,6.223563032
WM_20705,4/27/2019 16:53,3.037614895
WM_11344,1/28/2019 22:33,11.68040458
WM_39746,9/18/2019 18:23,8.771704532
WM_37748,9/4/2019 8:43,3.324699874
WM_19495,4/8/2019 11:33,5.567433139
WM_18396,3/26/2019 20:33,2.922399882
WM_23697,5/19/2019 13:03,6.242409785
WM_6458,12/23/2018 12:53,11.65460443
WM_36783,8/26/2019 15:33,2.827470459
WM_29299,7/1/2019 11:13,3.223184063
WM_34901,8/12/2019 22:33,8.2121345
WM_23140,5/15/2019 15:23,6.631405153
WM_17859,3/22/2019 18:43,5.441094521
WM_38335,9/8/2019 10:33,2.871110374
WM_37830,9/4/2019 22:23,8.86389943
WM_24435,5/24/2019 19:33,5.521989321
WM_22301,5/9/2019 14:03,4.119652495
WM_13853,2/16/2019 1:03,9.40151948
WM_10407,1/20/2019 18:23,10.08241428
WM_5946,12/19/2018 12:43,10.0946842
WM_24056,5/22/2019 0:53,3.300494855
WM_33390,8/2/2019 5:23,3.647883161
WM_210,10/30/2018 8:33,8.63442952
WM_17046,3/15/2019 5:13,4.544152753
